DAVCNA_ST;MATICNA_ST;OSA_ID;NAZIV;NASLOV;KRAJ;POSTNA_ST;regija;SKD_SIFRA;DEJAVNOST;DEJAVNOST ŠTEVILKA;SKIS;VELIKOST_SUBJEKTA;ST_ZAPOSLENIH;ST_ZAPOSLENIH<10;ST_ZAPOSLENIH_MED_10_IN_30;ST_ZAPOSLENIH MED 30 IN 100;ST_ZAPOSLENIH NAD 100;AKTUALNO_LETO;SCENARIJ;DATUM_UVOZA;Prihodki 2018; Prihodki 2017 ;Dobi?ek 2018;Dobi?ek 2017;Osnovna sredstva 2018;Osnovna sredstva 2017;Prejemki iz javnih sredstev 2018;Prejemki iz javnih sredstev 2017;Razlika v prihodkih 2018 ;Razlika v prihodkih 2017;Prihodki 2016;KOMENATR;Prihodki 2015;KOMENTAR;Dobi?ek 2016;KOMENTAR;Dobi?ek 2015;KOMENTAR;Osnovna sredstva 2016;Osnovna sredstva 2015
68803508;3325326;;MG DENTAL d.o.o.;Pot za Brdom 100;Ljubljana;1000;1;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;3;DA;NE;NE;NE;2018;6;30.05.2019;414884,63;392825,35;250134,42;181339,4;354316,31;315277,81;/;/;#VALUE!;#VALUE!;328222,78;328222,78;372977;372977;117191,63;117191,63;59456;100312;3037768;2902728
32596782;7041454;;ZOBOZDRAVSTVO ADS d.o.o.;Zadobrovška cesta 10;Ljubljana - Polje;1260;1;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;2,6;DA;NE;NE;NE;2018;6;30.05.2019;220460,67;217576,25;62474,04;48600,12;133772,75;157210,81;/;/;#VALUE!;#VALUE!;97706,4;97706,4;0;0;25611,16;25611,16;0;192305;353357,05;299450
68659555;6688403;69218359;MEDLINE d.o.o.;Cesta v Mestni log 55;Ljubljana;1000;1;Q86.220;Specialisti?na zunajbolnišni?na zdravstvena dejavnost;7;S.11002;Mikro enote;2,53;DA;NE;NE;NE;2018;2;30.05.2019;245321;73760,98;41502,16;23848,95;97566,3;32098,95;/;/;#VALUE!;#VALUE!;33568,8;33568,8;17116;17116;23848,95;23848,95;11470;29048,72;159527,76;143376,34
65655699;2289539;;MOS-DENT d.o.o.;Mlakarjeva ulica 76;Šen?ur;4208;4;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;2,5;DA;NE;NE;NE;2018;6;30.05.2019;171164;153759;22407,07;19983,47;75206,97;53092,14;/;/;#VALUE!;#VALUE!;158841;158841;151123;151123;16526,42;16526,42;15478;414784,84;944215,45;944483,93
12850764;6205798;;GOLENHOFEN, d.o.o.;Dolomitska ulica 3;Ljubljana;1000;1;Q86.901;Alternativne oblike zdravljenja;1;S.11002;Mikro enote;3;DA;NE;NE;NE;2018;6;30.05.2019;250177,83;244584,26;21313,46;20298,76;57136,13;77314,69;/;/;#VALUE!;#VALUE!;239224,23;239224,23;207619,2;207619,2;12673,45;12673,45;9541,75;341172;487411,98;439875
49639552;5653916;;DENTAL ŠRIMPF IN DRUGI, d.n.o.;Son?na ulica 7;Rogaška Slatina;3250;3;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;5;DA;NE;NE;NE;2018;6;30.05.2019;306596;302331;20970,43;7399,12;158815,54;138424,04;/;/;#VALUE!;#VALUE!;281117;281117;242944;242944;1921,15;1921,15;1015;8387,44;73826,74;65015,63
22519882;6091407;69214975;ESTETIKA MED-ART D.O.O.;Regentova cesta 37;Ljubljana;1000;1;Q86.220;Specialisti?na zunajbolnišni?na zdravstvena dejavnost;7;S.11002;Mikro enote;3,83;DA;NE;NE;NE;2018;2;30.05.2019;1175994,29;645812,46;18712,97;-37079,95;265396,13;209088,38;/;/;#VALUE!;#VALUE!;242569;242569;206234;206234;-75527;-75527;-76808;523971;927975,29;655618
91783372;5950139;;DR. GORAZD KRANJC, d.o.o.;Strniševa cesta 14;Ljubljana - ?rnu?e;1231;1;Q86.230;Zobozdravstvena dejavnost;9;S.11002;Mikro enote;2,42;DA;NE;NE;NE;2018;6;30.05.2019;69662,1;63424;6055,17;4984,62;22786,61;19930,96;/;/;#VALUE!;#VALUE!;58423,5;58423,5;63824;63824;4710,87;4710,87;2991,23;404340,77;510907,29;430484,33
16534107;6672990;;NITHI Y.A.S. d.o.o.;Podmilš?akova ulica 24;Ljubljana;1000;1;Q86.909;Druge zdravstvene dejavnosti;6;S.11002;Mikro enote;4,08;DA;NE;NE;NE;2018;6;30.05.2019;72295,82;111566,53;4397,59;14874,73;32976,75;34195,98;/;/;#VALUE!;#VALUE!;35592,44;35592,44;31160;31160;-14678,72;-14678,72;-8636;-4634;50288,85;50005
45078629;6549756;;Skin dermatologija d.o.o.;Peri?eva ulica 37;Ljubljana;1000;1;Q86.220;Specialisti?na zunajbolnišni?na zdravstvena dejavnost;7;S.11002;Mikro enote;3,77;DA;NE;NE;NE;2018;6;30.05.2019;292547,03;194642,23;-287078,55;-294055,86;491200,48;458118,74;/;/;#VALUE!;#VALUE!;66905,21;66905,21;1584;1584;-200749,22;-200749,22;-28480;111860;193247,89;158910
